Code,Base Model,L1 Model,L2 Model,Elastic Net Model
bias,62.485838,63.643789,88.155443,60.264892
4,1.0,0.0,0.367695,0.0
33,3.730798,2.808929,2.332387,2.662179
34,4.795039,3.89282,3.075683,3.662882
35,18.290367,17.711496,12.473251,17.353801
36,1.0,0.0,0.367695,0.0
48,20.243325,19.576275,13.222734,17.575888
56,32.663493,32.296376,22.425609,29.849857
57,15.637426,14.982172,10.499048,14.630925
59,30.705216,30.37019,20.6327,30.053566
61,28.315714,27.837671,18.346237,26.387589
63,37.998239,37.917407,26.984579,38.328831
65,1.0,0.0,0.367695,0.0
66,1.0,0.0,0.367695,0.0
67,1.0,0.0,0.367695,0.0
68,1.0,0.0,0.367695,0.0
69,1.0,0.0,0.367695,0.0
70,1.0,0.0,0.367695,0.0
71,1.0,0.0,0.367695,0.0
72,1.0,0.0,0.367695,0.0
