,0
0,04-21-1991
1,04-22-1991
2,04-23-1991
3,04-24-1991
4,04-25-1991
5,04-26-1991
6,04-27-1991
7,04-28-1991
8,04-29-1991
9,04-30-1991
10,05-01-1991
11,05-02-1991
12,05-03-1991
13,05-04-1991
14,05-05-1991
15,05-06-1991
16,05-07-1991
17,05-08-1991
18,05-09-1991
19,05-10-1991
20,05-11-1991
21,05-12-1991
22,05-13-1991
23,05-14-1991
24,05-15-1991
25,05-16-1991
26,05-17-1991
27,05-18-1991
28,05-19-1991
29,05-20-1991
30,05-21-1991
31,05-22-1991
32,05-23-1991
33,05-24-1991
34,05-25-1991
35,05-26-1991
36,05-27-1991
37,05-28-1991
38,05-29-1991
39,05-30-1991
40,05-31-1991
41,06-01-1991
42,06-02-1991
43,06-03-1991
44,06-04-1991
45,06-05-1991
46,06-06-1991
47,06-07-1991
48,06-08-1991
49,06-09-1991
50,06-10-1991
51,06-11-1991
52,06-12-1991
53,06-13-1991
54,06-14-1991
55,06-15-1991
56,06-16-1991
57,06-17-1991
58,06-18-1991
59,06-19-1991
60,06-20-1991
61,06-21-1991
62,06-22-1991
63,06-23-1991
64,06-24-1991
65,06-25-1991
66,06-26-1991
67,06-27-1991
68,06-28-1991
69,06-29-1991
70,06-30-1991
71,07-01-1991
72,07-02-1991
73,07-03-1991
74,07-04-1991
75,07-05-1991
76,07-06-1991
77,07-07-1991
78,07-08-1991
79,07-09-1991
80,07-10-1991
81,07-11-1991
82,07-12-1991
83,07-13-1991
84,07-14-1991
85,07-15-1991
86,07-16-1991
87,07-17-1991
88,07-18-1991
89,07-19-1991
90,07-20-1991
91,07-21-1991
92,07-22-1991
93,07-23-1991
94,07-24-1991
95,07-25-1991
96,07-26-1991
97,07-27-1991
98,07-28-1991
99,07-29-1991
100,07-30-1991
101,07-31-1991
102,08-01-1991
103,08-02-1991
104,08-03-1991
105,08-04-1991
106,08-05-1991
107,08-06-1991
108,08-07-1991
109,08-08-1991
110,08-09-1991
111,08-10-1991
112,08-11-1991
113,08-12-1991
114,08-13-1991
115,08-14-1991
116,08-15-1991
117,08-16-1991
