Code,Base Model,L1 Model,L2 Model,Elastic Net Model
bias,61.01859,62.135381,87.626327,59.066522
4,1.0,0.0,0.367695,0.0
33,2.38134,1.408364,1.326625,0.995488
34,10.053522,9.270564,7.038615,7.133555
35,22.224827,21.741131,15.755244,19.985497
36,1.0,0.0,0.367695,0.0
48,23.421985,22.774669,15.409322,19.656575
56,34.562549,34.19124,23.845926,31.287507
57,17.994887,17.343436,12.235079,16.239049
59,31.136451,30.924624,22.072482,33.049148
61,32.100888,31.600071,21.105308,28.545897
63,34.665844,34.504877,24.824405,35.204391
65,1.0,0.0,0.367695,0.0
66,1.0,0.0,0.367695,0.0
67,1.0,0.0,0.367695,0.0
68,1.0,0.0,0.367695,0.0
69,1.0,0.0,0.367695,0.0
70,1.0,0.0,0.367695,0.0
71,1.0,0.0,0.367695,0.0
72,1.0,0.0,0.367695,0.0
